participant_id,group,age,mean_participation,mean_abs_zscore,rc_norm_k2,rc_norm_k3,rc_norm_k4,rc_norm_k5,rc_norm_k6,rc_norm_k7,rc_norm_k8
sub-pixar142,adult,33.0,0.15645897085651778,0.7296320284956445,1.0087946197620274,1.01698397479797,1.0775465094860954,1.1859939759036184,1.2912482065997122,1.4468726450640534,1.9930069930069916
sub-pixar141,adult,22.0,0.28185253172085784,0.7607674490319533,1.0092034274833375,1.011976955730746,1.0207157931004796,1.047577477084244,1.1845730027548207,1.356974850732767,1.3192612137203155
sub-pixar140,adult,19.0,0.2852471639177988,0.8395999680685747,1.018289668808707,1.0231696014828549,1.0704845814977975,1.039977634889572,1.0866190624029803,1.0699333229958137,1.0115606936416186
sub-pixar139,adult,18.0,0.23647874545421443,0.8169677555657346,1.0185452099548358,1.0178719375073981,1.0530579181855033,1.0161318100924277,1.0602267707259618,1.0962908825141604,1.850972947318463
sub-pixar138,adult,28.0,0.136996417750386,0.6834290324043599,1.028336380255944,1.0378468138102808,1.2054096432771446,1.2019355845777593,1.1949509116409571,1.2850358506378619,1.2846655791190862
sub-pixar137,adult,34.0,0.3057988910640426,0.8442605386393871,0.9998442610185281,0.9991993594875882,1.045651619484826,1.029055690072637,1.1116600790513829,1.0005558643690928,2.150537634408603
sub-pixar136,adult,25.0,0.08140778807265099,0.7585922011942967,0.9997508409119205,1.007326007326011,1.05642987566299,1.1803686063367167,1.257944047697043,1.1593341260404268,1.0436178753010439
sub-pixar146,adult,18.0,0.1176613546653229,0.8400139456852137,0.9998131190431655,1.0137321158961812,1.0064757743621766,1.0886897234288235,1.5786955828416576,1.772816808929744,1.7312448474855722
sub-pixar135,adult,21.0,0.19957029142094074,0.7723725623506956,1.0092514718250685,1.014570966001079,1.0077731338619569,1.0254907705830645,1.0665191973455512,1.5000000000000004,1.6925246826516211
sub-pixar133,adult,21.0,0.2335464897189284,0.7605467754445365,1.018724214535075,1.0359648800558365,1.0548607503895793,1.23034859876965,1.3384655760650863,1.5376729882111744,1.5523932729624839
sub-pixar132,adult,22.0,0.23795996204906741,0.7381394269585496,1.0186757215619744,1.027995750950893,1.0180172901349303,1.1046091130251863,1.1908137227105182,1.4864864864864853,1.381019830028329
sub-pixar131,adult,39.0,0.2890025779297432,0.6848049076860157,1.0298333156386066,1.0633325543351237,1.0876376331572832,1.1008387342737367,1.1008387342737367,1.1008387342737367,1.1164274322169057
sub-pixar130,adult,21.0,0.2507233628698275,0.8310666911907176,0.9993971889971189,1.0154273702212555,1.0083838813120551,0.9972894185035541,1.055806938159879,1.1150343802267237,0.9423378954453661
sub-pixar129,adult,23.0,0.3834027737400753,0.8154890775015533,0.999814849102021,1.00782745993886,1.0447058823529412,1.0468054385753829,1.06352807714124,1.3683010262257707,2.631578947368422
sub-pixar128,adult,27.0,0.368062766892132,0.7979599035340578,0.9999691367550412,0.9996970614965168,1.0285179990649844,1.1939291736930855,1.1670581327069882,1.2684335361451993,1.1538461538461537
sub-pixar127,adult,23.0,0.20780200439291344,0.7975495638992062,1.0000000000000029,0.9979168066662197,1.03323574995695,1.0092807424593968,0.9818628119459982,0.9431490699502234,1.0008340283569641
sub-pixar126,adult,19.0,0.126637659812263,0.7762798479020683,1.018235059230665,1.0342022698222157,1.1159824631327204,1.2258543833580968,1.4273091823557398,1.4845831747240208,1.5077319587628861
sub-pixar125,adult,31.0,0.21990511758407325,0.6612878481296004,1.0184429574016671,1.0681413582818813,1.090806063181758,1.088871096877506,1.099721675378452,1.1050245561012488,1.248699271592092
sub-pixar124,adult,33.44,0.27716813863278505,0.8229826329554285,1.0085989526087729,1.0129811660538768,1.0940714419300557,1.3046629620681331,1.7207712960703019,1.814021899003104,1.8321513002364065
sub-pixar134,adult,25.0,0.26744196253333485,0.7772861136565238,1.0090412565186484,1.0170546926350028,1.0306978404426235,1.0871882327861888,1.1464628510487012,1.5687250996015947,1.6037735849056616
sub-pixar147,adult,21.0,0.12471690860579748,0.7965645622318461,0.9994554249287214,0.9940214651012059,0.9970674486803514,1.0957387935805198,1.2498698052286232,1.3356718834322718,1.5529141104294473
